Name,Firm Name,Ticker,SecId,Inception Date,Morningstar Category,US Category Group,Share Class Type,Oldest Share Class,Inception Date of Fund's Oldest Share Class,Ticker of Fund's Oldest Share Class,Index Fund,Obsolete Date,Obsolete Type,Merged Into Security,Research Flagship Fund Name,Net Assets - Share Class (mo-end) USD,Fund Size Comprehensive (mo-end) USD,Total Ret % Rank Cat 3Y mo-end (mo-end),Morningstar Rating 3Y (mo-end),Morningstar Sustainability Rating (mo-end),Morningstar Analyst Rating (day-end),Morningstar Category Primary Benchmark,Total Return (3Y - mo-end),Alpha Total (excess return) (3Y - mo-end) Cat Curr,Beta Total (excess return) (3Y - mo-end) Cat Curr,Standard Deviation Total (3Y - mo-end) Cat Curr,Sharpe Ratio Total Morningstar (3Y - mo-end) Cat Curr
Principal MidCap Value III Instl,Principal Funds,PVUIX,FOUSA02UNN,20010301,Mid-Cap Value,U.S. Equity,Inst,No,20001206,PLPPX,No,20190415,Merged,Principal MidCap Value I Inst,,"65,587,491.0700000000","1,005,848,908.0500000000",86,2 Stars,Above Average,,S&P 500 TR USD,6.1845920000," -8.3710000000",1.1630000000,13.4110000000,0.4180000000
Principal MidCap Value III J,Principal Funds,PMCJX,FOUSA02UJ3,20010301,Mid-Cap Value,U.S. Equity,Other,No,20001206,PLPPX,No,20190415,Merged,Principal MidCap Value I J,,"89,921,670.4200000000","1,005,848,908.0500000000",88,2 Stars,Above Average,,S&P 500 TR USD,5.9429680000," -8.5520000000",1.1590000000,13.3630000000,0.4010000000
Principal MidCap Value III P,Principal Funds,,F00000T4M9,20140603,Mid-Cap Value,U.S. Equity,Other,No,20001206,PLPPX,No,20170623,Merged,Principal MidCap Value III Instl,,"1,290,685.0000000000","1,005,848,908.0500000000",65,,,,S&P 500 TR USD,,,,,
Principal MidCap Value III R1,Principal Funds,PMSVX,FOUSA05AVK,20041101,Mid-Cap Value,U.S. Equity,Retirement,No,20001206,PLPPX,No,20190415,Merged,Principal MidCap Value I R1,,"249,620.4400000000","1,005,848,908.0500000000",90,1 Star,Above Average,,S&P 500 TR USD,5.3243010000," -9.1770000000",1.1620000000,13.4130000000,0.3570000000
Principal MidCap Value III R2,Principal Funds,PKPPX,FOUSA00LLC,20001206,Mid-Cap Value,U.S. Equity,Retirement,No,20001206,PLPPX,No,20190415,Merged,Principal MidCap Value I R2,,"1,047,107.5600000000","1,005,848,908.0500000000",90,2 Stars,Above Average,,S&P 500 TR USD,5.4727410000," -8.9910000000",1.1580000000,13.3600000000,0.3680000000
Principal MidCap Value III R3,Principal Funds,PJPPX,FOUSA00LK7,20001206,Mid-Cap Value,U.S. Equity,Retirement,No,20001206,PLPPX,No,20190415,Merged,Principal MidCap Value I R3,,"6,893,597.7900000000","1,005,848,908.0500000000",89,2 Stars,Above Average,,S&P 500 TR USD,5.6724220000," -8.8390000000",1.1620000000,13.3950000000,0.3820000000
Principal MidCap Value III R4,Principal Funds,PMPPX,FOUSA00LLF,20001206,Mid-Cap Value,U.S. Equity,Retirement,No,20001206,PLPPX,No,20190415,Merged,Principal MidCap Value I R4,,"6,161,439.1400000000","1,005,848,908.0500000000",89,2 Stars,Above Average,,S&P 500 TR USD,5.8625580000," -8.6440000000",1.1600000000,13.3860000000,0.3950000000
Principal MidCap Value III R5,Principal Funds,PLPPX,FOUSA00LLI,20001206,Mid-Cap Value,U.S. Equity,Retirement,Yes,20001206,PLPPX,No,20190415,Merged,Principal MidCap Value I R5,,"11,489,060.3300000000","1,005,848,908.0500000000",88,2 Stars,Above Average,,S&P 500 TR USD,5.9984070000," -8.5300000000",1.1620000000,13.3880000000,0.4050000000
Principal MidCap Value III R6,Principal Funds,PCMIX,F00000UHR2,20141125,Mid-Cap Value,U.S. Equity,Retirement,No,20001206,PLPPX,No,20190415,Merged,Principal MidCap Value I R-6,,"815,640,708.5200000000","1,005,848,908.0500000000",84,2 Stars,Above Average,,S&P 500 TR USD,6.3925070000," -8.1330000000",1.1590000000,13.3720000000,0.4330000000
Eaton Vance Balanced B,Eaton Vance,,FOUSA00CYH,19931102,Allocation--50% to 70% Equity,Allocation,B,No,19320401,EVIFX,No,20191015,Merged,Eaton Vance Balanced A,Eaton Vance Balanced A,"225,084.0000000000","989,234,567.0000000000",26,4 Stars,Below Average,Neutral,Morningstar Mod Tgt Risk TR USD,8.0577170000,0.7540000000,0.9740000000,7.0510000000,0.9090000000
